,index,Capacidade Bat,Pot Motor Var,LCOE Total,Fração Renovável,Inicialização
241,1,312.003822126021,10.033708151308101,0.7007329551777867,0.5343522103728376,4
244,4,499.92390601756347,45.49630048538914,0.7804031961280984,0.8433816588807728,4
245,5,120.00665587063779,41.09017172225861,0.7132162439373736,0.6741116965265564,4
246,6,252.08519195939547,25.489437252266065,0.7128909750871562,0.619207861122933,4
247,7,125.97400679070181,43.90201971702988,0.714116236113937,0.6763258351007273,4
248,8,499.92390601756347,45.49630048538914,0.7804031961280984,0.8433816588807728,4
249,9,120.03434083035451,45.97810244430195,0.7141685522068766,0.7075839911314643,4
250,10,317.15781466493775,17.956333440113166,0.7072863659134438,0.571074000358976,4
251,11,270.7485075491549,21.268172147446958,0.7074178833315298,0.5908846175347586,4
252,12,353.1344701267919,10.215722922852532,0.7046989878831103,0.5470770912745146,4
253,13,291.75582779139825,17.956333440113166,0.7047503269187054,0.5629198002795325,4
254,14,317.0003396847908,20.919287314223354,0.7126136011355501,0.6061193556698817,4
255,15,249.82764235146809,25.489437252266065,0.7126937965641783,0.6184289512810894,4
256,16,300.8006017366032,21.772512275833968,0.7106648674869717,0.6007971417091639,4
257,17,217.55344566831604,49.73578036231602,0.7321300479011194,0.7444213278128166,4
258,18,282.35293185628876,21.466968081157805,0.7085289317175941,0.5947272027178494,4
259,19,198.35743253550618,45.37123809301509,0.7286020722843428,0.7371928672061823,4
260,20,418.705389312753,45.81803846481914,0.7677598987673663,0.8174774062983421,4
261,21,343.7806198826427,10.215722922852532,0.7036580363119193,0.5442429644116696,4
262,22,317.15781466493775,51.970580580164054,0.7502895470472579,0.7816558126748528,4
263,23,234.44084135909145,47.1025978061285,0.7352317068342866,0.7507862325766779,4
264,24,358.66529449464673,46.39845916834025,0.7576461982029222,0.7967471383533753,4
265,25,379.0795033409434,45.875107977738445,0.7611574751576793,0.8039455180891025,4
266,26,284.5286563746837,46.03509527781328,0.7444027976720193,0.7695946522333771,4
267,27,129.36998006673653,45.97810244430195,0.7158966381572904,0.7111288470423454,4
268,28,227.71090758183502,46.08283984355965,0.7339922934759908,0.7482460112719141,4
269,29,295.391265403421,53.21366709404391,0.7463679015704997,0.7736127126623755,4
270,30,466.45648861571624,47.9084602678559,0.7752981236626316,0.8329195968275185,4
271,31,300.9088014338365,16.78999351743143,0.7055570687343912,0.5658662791613216,4
272,32,306.45857800987375,51.231876063046194,0.7483648824551039,0.7777106795043284,4
273,33,177.2470352084214,54.252571739018755,0.724718808470149,0.7292148931181979,4
274,34,187.0997609621441,45.53452141644764,0.7265275976988651,0.7329380201949912,4
275,35,144.05531075893006,45.49796574550896,0.7186106612691118,0.7166963966109439,4
276,36,483.7847923926577,50.422567038238356,0.7779611259767117,0.8383710384827945,4
277,37,346.0262726744742,51.22242150621359,0.7554531439969795,0.7922437938902971,4
278,38,394.96814852007645,53.21366709404391,0.7638530769481701,0.8094588381306043,4
